,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
186,"The London (feat. J. Cole & Travis Scott)","Young Thug",2960,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
187,"Marco Polo",Maes,2937,https://open.spotify.com/track/5S5IXw7j7o0uWD3hFGyt7p
188,"Skifahren (feat. Joshi Mizu)","The Cratez",2932,https://open.spotify.com/track/1E1YyZjbteIz2XQyLvtRxD
189,"In My Mind",Dynoro,2931,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
190,"Con Calma","Daddy Yankee",2926,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
191,"SICKO MODE","Travis Scott",2924,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
192,"Hot (Remix) [feat. Gunna and Travis Scott]","Young Thug",2921,https://open.spotify.com/track/4ea9w8c4ROqiZpJVhfBA3m
193,Moonlight,XXXTENTACION,2920,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
194,Bâtiment,Niska,2917,https://open.spotify.com/track/7FF6HRsQlc0CtfAbLmrEGX
195,"3 Nights","Dominic Fike",2903,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX
196,stupid,"Tate McRae",2895,https://open.spotify.com/track/4k3uABcX9iaGlt5pRJhumi
197,Pookie,"Aya Nakamura",2887,https://open.spotify.com/track/2QpUWi6VSNOt2WyH5FIeLD
198,"Break My Stride","Matthew Wilder",2863,https://open.spotify.com/track/1mCsF9Tw4AkIZOjvZbZZdT
199,"Me Gusta",Shakira,2858,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
200,"Doch in der Nacht","Apache 207",2856,https://open.spotify.com/track/3uhTOxvu2h2YEm0uPNF2vi
