,country,date,stringency
612,SVN,2020-01-23,0.0
613,FRA,2020-01-23,2.78
614,GBR,2020-01-23,5.56
615,GRC,2020-01-23,0.0
616,HRV,2020-01-23,0.0
617,IRL,2020-01-23,0.0
618,ITA,2020-01-23,2.78
619,LTU,2020-01-23,0.0
620,LUX,2020-01-23,0.0
621,SWE,2020-01-24,0.0
622,ROU,2020-01-24,0.0
623,NLD,2020-01-24,0.0
624,FIN,2020-01-24,0.0
625,EST,2020-01-24,0.0
626,ESP,2020-01-24,0.0
627,DNK,2020-01-24,0.0
628,DEU,2020-01-24,5.56
629,CZE,2020-01-24,5.56
630,BEL,2020-01-24,0.0
631,AUT,2020-01-24,0.0
632,SVN,2020-01-24,0.0
633,SVK,2020-01-24,0.0
634,PRT,2020-01-24,0.0
635,POL,2020-01-24,5.56
636,LVA,2020-01-24,0.0
637,HUN,2020-01-24,0.0
638,CYP,2020-01-24,0.0
639,BGR,2020-01-24,0.0
640,LUX,2020-01-24,0.0
641,LTU,2020-01-24,0.0
642,ITA,2020-01-24,2.78
643,IRL,2020-01-24,0.0
644,HRV,2020-01-24,0.0
645,GRC,2020-01-24,0.0
646,GBR,2020-01-24,5.56
647,FRA,2020-01-24,11.11
648,NLD,2020-01-25,0.0
649,ROU,2020-01-25,0.0
650,SWE,2020-01-25,0.0
651,AUT,2020-01-25,0.0
652,BEL,2020-01-25,0.0
653,CZE,2020-01-25,5.56
654,DEU,2020-01-25,5.56
655,DNK,2020-01-25,0.0
656,ESP,2020-01-25,0.0
657,EST,2020-01-25,0.0
658,FIN,2020-01-25,0.0
659,BGR,2020-01-25,0.0
660,CYP,2020-01-25,0.0
661,HUN,2020-01-25,0.0
662,LVA,2020-01-25,0.0
663,POL,2020-01-25,5.56
664,PRT,2020-01-25,0.0
665,SVK,2020-01-25,0.0
666,SVN,2020-01-25,0.0
667,FRA,2020-01-25,11.11
668,GBR,2020-01-25,5.56
669,GRC,2020-01-25,0.0
670,HRV,2020-01-25,0.0
671,IRL,2020-01-25,0.0
672,ITA,2020-01-25,2.78
673,LTU,2020-01-25,0.0
674,LUX,2020-01-25,0.0
675,SWE,2020-01-26,0.0
676,ROU,2020-01-26,0.0
677,NLD,2020-01-26,0.0
678,FIN,2020-01-26,0.0
679,EST,2020-01-26,0.0
680,ESP,2020-01-26,0.0
681,DNK,2020-01-26,0.0
682,DEU,2020-01-26,5.56
683,CZE,2020-01-26,5.56
684,BEL,2020-01-26,0.0
685,AUT,2020-01-26,0.0
686,SVN,2020-01-26,0.0
687,SVK,2020-01-26,0.0
688,PRT,2020-01-26,11.11
689,POL,2020-01-26,5.56
690,LVA,2020-01-26,0.0
691,HUN,2020-01-26,0.0
692,CYP,2020-01-26,0.0
693,BGR,2020-01-26,0.0
694,LUX,2020-01-26,0.0
695,LTU,2020-01-26,0.0
696,ITA,2020-01-26,2.78
697,IRL,2020-01-26,0.0
698,HRV,2020-01-26,0.0
699,GRC,2020-01-26,0.0
700,GBR,2020-01-26,5.56
701,FRA,2020-01-26,11.11
702,NLD,2020-01-27,0.0
703,ROU,2020-01-27,2.78
704,SWE,2020-01-27,0.0
705,AUT,2020-01-27,0.0
706,BEL,2020-01-27,0.0
707,CZE,2020-01-27,11.11
708,DEU,2020-01-27,5.56
709,DNK,2020-01-27,0.0
710,ESP,2020-01-27,0.0
711,EST,2020-01-27,0.0
712,FIN,2020-01-27,5.56
713,BGR,2020-01-27,0.0
714,CYP,2020-01-27,0.0
715,HUN,2020-01-27,0.0
716,LVA,2020-01-27,0.0
717,POL,2020-01-27,5.56
718,PRT,2020-01-27,11.11
719,SVK,2020-01-27,2.78
720,SVN,2020-01-27,0.0
721,FRA,2020-01-27,11.11
722,GBR,2020-01-27,5.56
723,GRC,2020-01-27,0.0
724,HRV,2020-01-27,5.56
725,IRL,2020-01-27,0.0
726,ITA,2020-01-27,2.78
727,LTU,2020-01-27,0.0
728,LUX,2020-01-27,0.0
729,SWE,2020-01-28,0.0
730,ROU,2020-01-28,2.78
731,NLD,2020-01-28,0.0
732,FIN,2020-01-28,5.56
733,EST,2020-01-28,0.0
734,ESP,2020-01-28,0.0
735,DNK,2020-01-28,0.0
736,DEU,2020-01-28,5.56
737,CZE,2020-01-28,11.11
738,BEL,2020-01-28,5.56
739,AUT,2020-01-28,0.0
740,SVN,2020-01-28,0.0
741,SVK,2020-01-28,2.78
742,PRT,2020-01-28,11.11
743,POL,2020-01-28,5.56
744,LVA,2020-01-28,0.0
745,HUN,2020-01-28,0.0
746,CYP,2020-01-28,0.0
747,BGR,2020-01-28,0.0
748,LUX,2020-01-28,0.0
749,LTU,2020-01-28,0.0
750,ITA,2020-01-28,2.78
751,IRL,2020-01-28,0.0
752,HRV,2020-01-28,5.56
753,GRC,2020-01-28,0.0
754,GBR,2020-01-28,5.56
755,FRA,2020-01-28,11.11
756,NLD,2020-01-29,0.0
757,ROU,2020-01-29,2.78
758,SWE,2020-01-29,0.0
759,AUT,2020-01-29,0.0
760,BEL,2020-01-29,5.56
761,CZE,2020-01-29,11.11
762,DEU,2020-01-29,5.56
763,DNK,2020-01-29,0.0
764,ESP,2020-01-29,0.0
765,EST,2020-01-29,0.0
766,FIN,2020-01-29,5.56
767,BGR,2020-01-29,0.0
768,CYP,2020-01-29,0.0
769,HUN,2020-01-29,0.0
770,LVA,2020-01-29,0.0
771,POL,2020-01-29,5.56
772,PRT,2020-01-29,11.11
773,SVK,2020-01-29,2.78
774,SVN,2020-01-29,0.0
775,FRA,2020-01-29,11.11
776,GBR,2020-01-29,5.56
777,GRC,2020-01-29,0.0
778,HRV,2020-01-29,5.56
779,IRL,2020-01-29,0.0
780,ITA,2020-01-29,2.78
781,LTU,2020-01-29,0.0
782,LUX,2020-01-29,0.0
783,SWE,2020-01-30,0.0
784,ROU,2020-01-30,2.78
785,NLD,2020-01-30,0.0
786,FIN,2020-01-30,5.56
787,EST,2020-01-30,0.0
788,ESP,2020-01-30,0.0
789,DNK,2020-01-30,0.0
790,DEU,2020-01-30,5.56
791,CZE,2020-01-30,16.67
792,BEL,2020-01-30,5.56
793,AUT,2020-01-30,0.0
794,SVN,2020-01-30,0.0
795,SVK,2020-01-30,2.78
796,PRT,2020-01-30,11.11
797,POL,2020-01-30,5.56
798,LVA,2020-01-30,0.0
799,HUN,2020-01-30,0.0
800,CYP,2020-01-30,0.0
801,BGR,2020-01-30,0.0
802,LUX,2020-01-30,0.0
803,LTU,2020-01-30,0.0
804,ITA,2020-01-30,8.33
805,IRL,2020-01-30,0.0
806,HRV,2020-01-30,5.56
807,GRC,2020-01-30,0.0
808,GBR,2020-01-30,5.56
809,FRA,2020-01-30,11.11
810,NLD,2020-01-31,0.0
811,ROU,2020-01-31,2.78
812,SWE,2020-01-31,0.0
813,AUT,2020-01-31,0.0
814,BEL,2020-01-31,11.11
815,CZE,2020-01-31,16.67
816,DEU,2020-01-31,5.56
817,DNK,2020-01-31,0.0
818,ESP,2020-01-31,11.11
819,EST,2020-01-31,0.0
820,FIN,2020-01-31,5.56
821,BGR,2020-01-31,0.0
822,CYP,2020-01-31,0.0
823,HUN,2020-01-31,0.0
